#,Player,Pos,Team,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL
68,Amari Cooper,WR,CLE,12.5,6.7,16,24.6,2.6,-,14.8,4.2,14.9,24.9,15.8,7.4,3.6,6.4,12.7,20.9,,,,175.5
69,Jayden Reed,WR,GB,12.5,6.6,19.7,9.3,10.5,1.7,-,11.1,12.3,7,19.4,19.2,15,5.6,20.5,17.2,,,,175.1
70,Isiah Pacheco,RB,KC,14.5,9.4,8,15.8,24.8,13.4,15.8,16,6.7,6.6,-,10.1,25.9,21.3,-,-,,,,173.8
71,Calvin Ridley,WR,JAC,12.4,24.1,5.2,7,11.8,20.6,6.6,1.5,14.3,-,4,31.1,21.9,7.3,9.3,8.9,,,,173.6
72,Gardner Minshew,QB,IND,13.3,0,11.1,13.1,-,6.3,12.6,28.1,15.8,9.6,6.7,-,15.6,18.7,15.1,20.6,,,,173.3
73,Desmond Ridder,QB,ATL,13.3,8.9,22.4,6.3,8.2,26.2,19.1,13.8,3.4,-,8.7,-,11.7,8.8,26.4,8.9,,,,172.8
74,Saquon Barkley,RB,NYG,15.6,9.3,27.2,-,-,-,13.8,18.8,15.8,14.3,7.1,30,6.2,-,23.1,5.7,,,,171.3
75,Jerome Ford,RB,CLE,12.2,1.6,24.1,19.1,9.5,-,11.1,17.4,4.9,12.7,11.9,11.9,11.9,14.2,13.2,7.1,,,,170.6
76,David Montgomery,RB,DET,15.4,13.4,12.4,-,34.1,20.9,4.3,-,-,-,17.6,17.8,15.1,12.5,11.5,10.2,,,,169.8
77,Terry McLaurin,WR,WAS,12,5.1,16.4,10.1,16.6,8.9,14.1,15,17.3,12.3,7.3,9.3,9,0,-,26.1,,,,167.5
78,David Njoku,TE,CLE,12,4.4,6.8,6,10.6,-,5.4,10.4,17.7,12.6,11.8,12.6,11.9,3.7,27.1,26.4,,,,167.4
79,Kenneth Walker,RB,SEA,13.9,10.7,18.4,30.6,13.9,-,17.9,13.1,8,2.7,19.7,2.6,-,-,9.4,20.2,,,,167.2
79,Tyler Lockett,WR,SEA,11.9,3,25.9,8.4,9.4,-,15.4,7.8,22.1,6.2,23.2,10.1,6,9.7,14.9,5.1,,,,167.2
