PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Donald Driver (FA),WR,56,3.5,66.07,0,0.0,16,0.0,0.0
Domenik Hixon (FA),WR,6,3.0,66.67,0,0.0,2,0.0,0.0
Devin Thomas (FA),WR,3,0.19,100.0,0,0.0,16,0.0,0.0
Devin Hester (FA),WR,56,3.5,46.43,1,0.06,16,0.0,0.0
Devin Aromashodu (FA),WR,84,5.25,30.95,0,0.0,16,0.0,0.0
Devery Henderson (FA),WR,50,3.12,64.0,1,0.06,16,0.0,0.0
Derek Hagan (FA),WR,42,4.2,57.14,0,0.0,10,0.0,0.0
Deon Butler (FA),WR,7,1.4,85.71,0,0.0,5,0.0,0.0
Davone Bess (FA),WR,86,5.38,59.3,2,0.12,16,0.0,0.0
Darrius Heyward-Bey (FA),WR,115,7.67,55.65,0,0.0,15,0.0,0.0
Danny Amendola (HOU),WR,6,6.0,83.33,0,0.0,1,0.0,0.0
Courtney Roby (FA),WR,0,0.0,,0,0.0,16,0.0,0.0
Chris Henry (CIN),WR,0,,,0,,0,0.0,0.0
Chaz Schilens (FA),WR,34,2.27,67.65,0,0.0,15,0.0,0.0
Mario Manningham (FA),WR,77,6.42,50.65,0,0.0,12,0.0,0.0
Jerrel Jernigan (FA),WR,2,0.25,0.0,0,0.0,8,0.0,0.0
Onrea Jones (CHI),WR,0,,,0,,0,0.0,0.0
Anthony Armstrong (FA),WR,27,1.93,25.93,2,0.14,14,0.0,0.0
David Reed (FA),WR,2,0.18,0.0,1,0.09,11,0.0,0.0
