Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
K.Warner,ARI,0.35,1.625,3.5,7.8975,6.94875,0,28.0,0.0,2.8000000000000003
C.Pennington,NYJ,0.9,2.0,9.0,7.88,9.696666666666667,0,27.0,0.0,2.7
T.Maddox,PIT,0.8666666666666667,2.6666666666666665,8.666666666666666,9.479999999999999,12.086666666666668,0,26.0,0.0,2.6
D.Kreider,PIT,0.5750000000000002,1.0,5.75,2.9174999999999995,4.5425,0,23.0,0.0,2.3000000000000003
B.Hoover,CAR,0.31428571428571433,1.7142857142857142,3.142857142857143,4.387142857142857,2.4400000000000004,0,22.0,0.0,2.2
C.Sapp,DEN,2.1,5.0,21.0,10.64,10.71,0,21.0,0.0,2.1
D.Brown,KC,0.42000000000000004,1.4,4.2,3.996,2.332,0,21.0,0.0,2.1
M.Williams,MIN,0.4,2.8,4.0,14.191999999999998,12.58,0,20.0,0.0,2.0
T.Richardson,KC,0.4,1.2,4.0,3.5060000000000002,2.4219999999999997,0,20.0,0.0,2.0
M.Tuiasosopo,LV,1.9000000000000001,2.0,19.0,11.76,20.0,0,19.0,0.0,1.9000000000000001
T.Rattay,SF,0.6,2.3333333333333335,6.0,10.886666666666665,3.0333333333333337,0,18.0,0.0,1.8
T.Minor,MIA,1.7000000000000002,5.0,17.0,15.15,11.26,0,17.0,0.0,1.7000000000000002
J.White,BAL,1.7000000000000002,6.0,17.0,15.79,9.34,0,17.0,0.0,1.7000000000000002
R.Lee,GB,0.4,2.75,4.0,9.975000000000001,4.800000000000001,0,16.0,0.0,1.6
P.Smith,DET,0.8,2.0,8.0,9.555,21.345,0,16.0,0.0,1.6
C.Roby,TEN,1.6,2.0,16.0,8.33,13.56,0,16.0,0.0,1.6
T.Bouman,NO,0.375,2.0,3.75,8.2775,5.5,0,15.0,0.0,1.5
L.Suggs,CLE,0.37500000000000006,2.0,3.75,9.4,6.8825,0,15.0,0.0,1.5
J.Mungro,IND,0.30000000000000004,1.4,3.0,6.104,13.376,0,15.0,0.0,1.5
S.Rosenfels,MIA,0.75,3.0,7.5,10.995000000000001,7.33,0,15.0,0.0,1.5
J.Johnson,CIN,0.46666666666666673,2.6666666666666665,4.666666666666667,7.896666666666666,3.1500000000000004,0,14.0,0.0,1.4000000000000001
C.Adams,DEN,0.35,1.25,3.5,3.04,2.0124999999999997,0,14.0,0.0,1.4000000000000001
A.Zereoue,NE,1.4000000000000001,7.0,14.0,36.84,15.73,0,14.0,0.0,1.4000000000000001
D.Driver,GB,0.65,1.0,6.5,3.94,7.48,0,13.0,0.0,1.3
A.Davis,NE,1.3,1.0,13.0,3.57,11.02,0,13.0,0.0,1.3
D.Givens,NE,1.3,2.0,13.0,6.25,15.66,0,13.0,0.0,1.3
G.Lewis,PHI,0.65,1.0,6.5,4.445,7.18,0,13.0,0.0,1.3
J.Gaffney,HOU,0.325,1.0,3.25,3.3375000000000004,2.52,0,13.0,0.0,1.3
M.Cassel,NE,0.39999999999999997,2.3333333333333335,4.0,8.996666666666666,7.596666666666667,0,12.0,0.0,1.2000000000000002
M.Karney,NO,0.30000000000000004,1.5,3.0,5.1225000000000005,2.1275,0,12.0,0.0,1.2000000000000002
R.White,ATL,0.30000000000000004,1.0,3.0,3.9200000000000004,2.43,0,12.0,0.0,1.2000000000000002
B.Griese,TB,0.20000000000000004,2.1666666666666665,2.0,6.716666666666666,2.966666666666667,0,12.0,0.0,1.2000000000000002
J.Jackson,ARI,0.275,1.0,2.75,5.2775,4.880000000000001,0,11.0,0.0,1.1
D.Hall,KC,0.18333333333333335,1.1666666666666667,1.8333333333333333,3.5316666666666663,1.2683333333333333,0,11.0,0.0,1.1
T.Dwight,NE,0.3666666666666667,1.3333333333333333,3.6666666666666665,6.646666666666666,4.253333333333333,0,11.0,0.0,1.1
T.Jackson,SF,0.55,1.0,5.5,2.81,2.535,0,11.0,0.0,1.1
A.Battle,SF,0.22000000000000003,1.6,2.2,7.412000000000001,1.4779999999999998,0,11.0,0.0,1.1
K.Dorsey,SF,0.55,2.0,5.5,7.05,4.305,0,11.0,0.0,1.1
R.Caldwell,LAC,0.5,1.0,5.0,3.145,4.1899999999999995,0,10.0,0.0,1.0
A.Johnson,HOU,0.20000000000000004,1.2,2.0,4.888,2.3120000000000003,0,10.0,0.0,1.0
D.Henderson,NO,0.9,1.0,9.0,3.12,4.27,0,9.0,0.0,0.9
T.Smith,CLE,0.18000000000000002,1.2,1.8,5.204,2.3619999999999997,0,9.0,0.0,0.9
S.Moss,WAS,0.18,1.0,1.8,3.242,1.7580000000000002,0,9.0,0.0,0.9
P.Price,DAL,0.9,1.0,9.0,2.56,5.49,0,9.0,0.0,0.9
L.Polite,DAL,0.4,1.0,4.0,2.84,2.885,0,8.0,0.0,0.8
J.McCareins,NYJ,0.8,1.0,8.0,14.29,36.36,0,8.0,0.0,0.8
J.Thrash,WAS,0.8,1.0,8.0,3.57,7.92,0,8.0,0.0,0.8
A.Rodgers,GB,0.35000000000000003,1.0,3.5,4.145,3.0050000000000003,0,7.0,0.0,0.7000000000000001
D.Jackson,SEA,0.7000000000000001,1.0,7.0,3.03,3.83,0,7.0,0.0,0.7000000000000001
R.Smith,DEN,0.7000000000000001,1.0,7.0,3.45,5.34,0,7.0,0.0,0.7000000000000001
D.Anderson,ARI,0.7000000000000001,2.0,7.0,6.25,9.33,0,7.0,0.0,0.7000000000000001
S.McDonald,LA,0.7000000000000001,1.0,7.0,3.7,7.87,0,7.0,0.0,0.7000000000000001
S.Vines,DET,0.7000000000000001,1.0,7.0,3.45,7.53,0,7.0,0.0,0.7000000000000001
A.Brown,WAS,0.35000000000000003,1.0,3.5,2.415,2.1950000000000003,0,7.0,0.0,0.7000000000000001
J.Martin,LA,0.15000000000000002,2.25,1.5,8.355,5.3075,0,6.0,0.0,0.6000000000000001
K.Colbert,CAR,0.6000000000000001,1.0,6.0,3.03,5.31,0,6.0,0.0,0.6000000000000001
K.Wilson,KC,0.6000000000000001,1.0,6.0,2.78,4.8,0,6.0,0.0,0.6000000000000001
R.Smart,CAR,0.6000000000000001,3.0,6.0,7.89,2.62,0,6.0,0.0,0.6000000000000001
J.Green,BAL,0.6000000000000001,6.0,4.0,17.65,3.01,0,6.0,0.0,0.6000000000000001
W.Welker,MIA,0.5,1.0,5.0,3.33,3.47,0,5.0,0.0,0.5
P.Warrick,SEA,0.5,1.0,5.0,2.94,3.45,0,5.0,0.0,0.5
R.Brown,PHI,0.5,1.0,5.0,3.57,4.0,0,5.0,0.0,0.5
B.Johnson,CHI,0.5,1.0,5.0,2.5,2.91,0,5.0,0.0,0.5
D.Gabriel,LV,0.5,1.0,5.0,3.7,4.95,0,5.0,0.0,0.5
R.Grossman,CHI,0.5,1.0,5.0,3.7,5.15,0,5.0,0.0,0.5
J.Galloway,TB,0.2,1.0,2.0,3.8899999999999997,2.9,0,4.0,0.0,0.4
T.Newman,DAL,0.4,1.0,4.0,4.55,7.02,0,4.0,0.0,0.4
A.Pinnock,LAC,0.4,1.0,4.0,2.94,2.84,0,4.0,0.0,0.4
K.Brown,HOU,0.4,1.0,4.0,3.85,2.63,0,4.0,0.0,0.4
W.Ponder,NYG,0.4,1.0,4.0,3.45,4.35,0,4.0,0.0,0.4
J.Cotchery,NYJ,0.4,1.0,4.0,3.12,2.92,0,4.0,0.0,0.4
K.Osgood,LAC,0.4,1.0,4.0,2.94,2.84,0,4.0,0.0,0.4
A.Bryant,CLE,0.30000000000000004,1.0,3.0,4.55,2.54,0,3.0,0.0,0.30000000000000004
P.Ramsey,WAS,0.09999999999999998,2.3333333333333335,1.0,11.089999999999998,4.1,0,3.0,0.0,0.30000000000000004
T.Taylor,MIN,0.15,1.0,1.5,5.185,0.7050000000000001,0,3.0,0.0,0.30000000000000004
D.Bennett,TEN,0.30000000000000004,1.0,3.0,3.85,3.7,0,3.0,0.0,0.30000000000000004
R.Williams,JAX,0.14999999999999997,1.0,1.5,3.435,-1.9700000000000006,0,3.0,0.0,0.30000000000000004
C.Hetherington,SF,0.30000000000000004,1.0,3.0,7.14,5.88,0,3.0,0.0,0.30000000000000004
K.Johnson,DAL,0.30000000000000004,1.0,3.0,2.17,1.8,0,3.0,0.0,0.30000000000000004
N.Broughton,WAS,0.30000000000000004,1.0,3.0,2.5,1.17,0,3.0,0.0,0.30000000000000004
B.Volek,TEN,0.30000000000000004,1.0,3.0,3.57,3.33,0,3.0,0.0,0.30000000000000004
D.Stallworth,NO,0.10000000000000002,1.0,1.0,3.56,2.77,0,2.0,0.0,0.2
K.McCardell,LAC,0.10000000000000003,1.5,1.0,4.255,0.5449999999999999,0,2.0,0.0,0.2
S.Lechler,LV,0.2,1.0,2.0,5.88,2.47,0,2.0,0.0,0.2
T.Owens,PHI,0.2,1.0,2.0,5.26,2.53,0,2.0,0.0,0.2
T.Holt,LA,0.2,1.0,2.0,3.03,1.89,0,2.0,0.0,0.2
M.Clayton,TB,0.2,1.0,2.0,2.94,1.11,0,2.0,0.0,0.2
B.Manumaleuna,LA,0.2,1.0,2.0,3.7,2.25,0,2.0,0.0,0.2
Q.Gray,JAX,0.1,3.0,1.0,8.57,0.82,0,1.0,0.0,0.1
C.Schlesinger,DET,0.1,1.0,1.0,5.26,1.75,0,1.0,0.0,0.1
J.Sorgi,IND,0.020000000000000018,2.4,0.2,13.734,2.338,0,1.0,0.0,0.1
B.Wade,TEN,0.1,1.0,1.0,4.0,1.09,0,1.0,0.0,0.1
B.Jones,TEN,0.1,1.0,1.0,5.26,0.92,0,1.0,0.0,0.1
K.Detmer,PHI,0.1,1.0,1.0,4.0,1.64,0,1.0,0.0,0.1
J.Smith,BUF,0.1,1.0,1.0,2.86,0.58,0,1.0,0.0,0.1
K.Larson,CIN,0.0,1.0,0.0,5.0,0.0,0,0.0,0.0,0.0
J.Fiedler,NYJ,0.0,1.0,0.0,4.35,0.0,0,0.0,0.0,0.0
D.Jones,MIA,0.0,1.0,0.0,5.0,0.0,0,0.0,0.0,0.0
C.Hentrich,TEN,0.0,1.0,0.0,3.57,0.0,0,0.0,0.0,0.0
C.Stanley,HOU,0.0,1.0,0.0,5.26,0.0,0,0.0,0.0,0.0
P.Crayton,DAL,0.0,1.0,0.0,3.12,0.0,0,0.0,0.0,0.0
D.Zastudil,BAL,0.0,1.0,0.0,3.12,0.0,0,0.0,0.0,0.0
M.Hedgecock,LA,0.0,1.0,0.0,6.67,0.0,0,0.0,0.0,0.0
