PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
S.Perry,TEN,,5.88,,,,,,,,,,,,,,,,,,,,5.88
T.Hill,KC,,4.55,6.45,,15.0,2.17,,,9.09,,7.41,,4.55,4.17,2.44,,,,12.5,,5.88,6.746363636363636
K.Hamler,DEN,,3.85,7.14,,,,3.03,,4.55,,,6.06,6.06,,,3.57,,,,,,4.894285714285714
J.Reed,LAC,,2.27,,,,,6.06,,6.25,,,,,,,,,,,,,4.86
J.McNichols,TEN,,5.88,,,26.47,18.52,4.35,13.79,6.45,9.38,,17.78,10.0,27.5,,,,4.55,,,,13.151818181818184
C.Thompson,JAX,,7.41,11.76,,10.0,,,,3.7,,,,,,,,,,,,,8.217500000000001
S.Shepard,NYG,,5.56,,,,,,,2.86,,,2.38,,,4.76,,7.14,,,,,4.54
J.Driskel,DEN,,7.69,21.43,3.12,,,,,,,,,,,,,,,,,,10.746666666666668
K.Ballage,NYJ,,3.45,6.9,,,,,,,,,,,,,,,,,,,5.175000000000001
C.Ham,MIN,,5.26,,2.5,,,,2.94,,,,4.17,,3.03,,,,,,,,3.5799999999999996
C.Kirk,ARI,,3.12,,,,,,,,,,2.94,,,,,,,,,,3.0300000000000002
M.Hardman,KC,,4.55,,,,,4.55,,,,,,,,2.44,4.76,,,4.17,4.0,,4.078333333333333
J.Wilson,SF,,6.9,34.29,15.0,21.05,,45.95,,,,,36.36,33.33,40.74,44.44,73.33,83.33,,,,,39.519999999999996
D.Thompson,DAL,,3.12,,,,,,,,,,,,,,,,,,,,3.12
D.Carr,LV,,8.57,9.09,17.39,11.43,,8.33,13.33,7.69,9.76,11.54,,8.0,13.64,,8.33,8.7,,,,,10.446153846153845
K.Smith,ATL,,2.94,,,4.17,,,,3.12,,,,,5.0,,,,,,,,3.8075
J.Chinn,CAR,,4.17,,,,,,4.55,,,,,,,,,,,,,,4.359999999999999
M.Davis,CAR,,4.17,61.9,45.71,59.26,62.07,50.0,59.09,4.17,43.75,55.88,53.57,,52.38,51.85,40.0,,,,,,45.98571428571429
S.Martin,DEN,,3.85,,,,,,,,,,,,,,,,,,,,3.85
W.Fuller,HOU,,5.88,,,,,,,,,,,,,,,,,,,,5.88
G.Davis,BUF,,4.35,,,,,,,,,,,,,,,,,,,,4.35
V.Jefferson,LA,,2.56,,,,,,,,,,,,,,,,,,,,2.56
N.Mullens,SF,,6.9,11.43,,,,,,5.88,4.0,,,,,2.78,,,,,,,6.1979999999999995
L.McCoy,TB,,4.55,,3.7,,11.43,,,,,,,,15.38,,,,,,,,8.765
B.Aiyuk,SF,,,8.57,5.0,,,,,,4.0,,,,,,3.33,,,,,,5.225
A.McFarland,PIT,,,15.79,,9.38,8.11,4.0,6.25,16.67,,11.11,15.0,28.57,,4.35,,25.0,,,,,13.111818181818181
J.Grant,MIA,,,2.78,,3.03,,,,,,5.88,,,,,,,,,,,3.8966666666666665
A.Gandy-Golden,WAS,,,4.55,,,,,,,,,,,,,,,,,,,4.55
T.Yeldon,BUF,,,14.29,,31.82,,,,,,,,,,,,,,12.5,16.67,,18.82
R.Bonnafon,CAR,,,9.52,28.57,,,,,,,,,,,,,,,,,,19.045
I.Zuber,NE,,,2.63,2.86,,,,,,,,,,,,,,,,,,2.745
D.Freeman,NYG,,,33.33,44.0,62.96,69.23,13.64,,,,,,,,,,,,,,,44.63199999999999
D.Johnson,PIT,,,2.63,,,,,,5.56,,,,,,,,,,,,,4.095
D.Evans,TEN,,,8.82,,5.88,,,,,,,,,,20.51,3.7,,4.55,,,,8.692
J.Hasty,SF,,,5.71,,,24.32,24.32,54.55,23.53,12.0,,,,,,,,,,,,24.07166666666667
A.Miller,CHI,,,4.0,,,,,,,,,,3.23,,,,,5.26,,,,4.163333333333333
W.Gallman,NYG,,,26.67,24.0,18.52,,45.45,50.0,40.0,50.0,,,,,,,,,,,,36.37714285714286
I.Wright,WAS,,,4.55,4.55,,4.17,,,,,,,,,,,,,,,,4.423333333333333
J.Hurts,PHI,,,5.56,10.71,,15.0,7.41,3.7,,8.33,4.0,,20.0,50.0,35.48,31.03,27.59,,,,,18.234166666666667
I.McKenzie,BUF,,,4.76,8.33,,,3.7,,5.26,,,3.33,,,,6.45,8.0,,,11.11,,6.3675
A.Thielen,MIN,,,3.03,2.5,2.38,,,,,,,,,,,,,,,,,2.6366666666666663
J.Natson,CLE,,,2.7,,,,,,,,,,,,,,,,,,,2.7
T.McLaurin,WAS,,,4.55,,,,,,,3.85,,,,,,,,,,,,4.2
N.Harry,NE,,,2.63,,,,,,,,,3.33,,,,,,,,,,2.98
J.Agnew,DET,,,3.7,4.55,,,,7.69,,,,,4.55,6.67,3.7,,,,,,,5.1433333333333335
C.Prosise,HOU,,,6.67,,,,,,,,15.79,21.74,,3.7,,,,,,,,11.975000000000001
J.Brissett,IND,,,6.45,,,,,,,3.45,5.26,18.18,6.9,6.45,4.35,3.57,5.41,3.23,,,,6.325000000000001
K.Raymond,TEN,,,2.94,,,,,,,,,,,,,,,,,,,2.94
N.Foles,CHI,,,12.0,11.76,7.14,20.0,,,10.0,5.88,,,,,,6.06,,,,,,10.405714285714286
A.Isabella,ARI,,,3.7,,,,,,,,,,,,,,,,,,,3.7
G.Ward,PHI,,,2.78,,,,,3.7,,,,,,,,,,,,,,3.24
O.Beckham,CLE,,,,4.88,3.03,,,,,,,,,,,,,,,,,3.955
D.Harris,NE,,,,48.57,,23.08,45.45,47.06,34.15,56.41,45.83,46.67,37.21,37.93,,,,,,,,42.236000000000004
G.Everett,LA,,,,4.35,,,,,,,,,,,,,,,,,,4.35
D.Hilliard,CLE,,,,12.2,,18.18,,,,,,,,,,,,,,,,15.19
T.Riddick,LV,,,,8.7,,,,,,,,,12.0,,2.44,,,,,,,7.713333333333334
T.Higgins,CIN,,,,2.94,,3.12,4.76,6.25,,,,,,,,,,,,,,4.2675
D.Samuel,SF,,,,5.0,5.26,2.7,8.11,,,,,,4.76,3.7,,,,,,,,4.921666666666666
G.Minshew II,JAX,,,,10.0,20.0,18.75,14.29,,,,,,,13.33,9.09,,,,,,,14.243333333333334
D.Dallas,SEA,,,,7.69,,,,64.29,41.18,9.09,3.23,,,11.11,,,,,,,,22.765
B.Hoyer,NE,,,,2.86,,,,,,,,,,,,,,,,,,2.86
A.Erickson,CIN,,,,2.94,,,,,,,5.56,6.67,,3.33,,,5.26,,,,,4.752
L.Shenault Jr.,JAX,,,,5.0,,6.25,3.57,,,,,4.0,8.0,6.67,9.09,,5.88,,,,,6.0575
L.Bowden,MIA,,,,4.55,9.09,,,,,,,,3.57,4.17,2.38,4.0,5.0,,,,,4.680000000000001
M.Burton,NO,,,,2.38,8.0,,,3.33,2.7,,,,,,,4.44,,,,,,4.17
T.Boyd,CIN,,,,2.94,,3.12,,6.25,,,,,,,,,5.26,,,,,4.3925
G.Nabers,LAC,,,,4.35,,,,,,,,,,3.85,,,,,,,,4.1
