PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
A.St. Brown,DET,,,,,,,,,,,,,2.0,,3.97,14.62,24.21,12.12,,,,,11.383999999999999
N.McCrary,BAL,,,,,,,,,,,,,-0.93,,,,,,,,,,-0.93
C.Reynolds,DET,,,,,,,,,,,,,,70.34,88.89,22.31,4.21,2.02,,,,,37.55400000000001
J.Williams,WAS,,,,,,,,,,,,,,16.0,7.94,10.59,4.26,19.91,,,,,11.74
A.Lazard,GB,,,,,,,,,,,,,,11.76,5.21,11.93,,,,,,,9.633333333333333
K.Allen,WAS,,,,,,,,,,,,,,11.0,,,,,,,,,11.0
V.Jefferson,LA,,,,,,,,,,,,,,11.24,8.13,,,,,20.55,,,13.306666666666667
T.Ragas,LV,,,,,,,,,,,,,,20.45,,,,,,,,,20.45
D.Leavitt,LV,,,,,,,,,,,,,,9.09,2.04,,,,,,,,5.5649999999999995
J.Hardy,DAL,,,,,,,,,,,,,,2.46,,,,15.2,,,,,8.83
P.Dorsett,HOU,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
K.Benkert,GB,,,,,,,,,,,,,,-0.84,,,,,,,,,-0.84
C.Daniel,LAC,,,,,,,,,,,,,,-1.32,,,,,,,,,-1.32
M.Carter,NYJ,,,,,,,,,,,,,,,17.65,43.22,,,,,,,30.435
J.Meyers,NE,,,,,,,,,,,,,,,11.11,,,,,,,,11.11
C.Fejedelem,MIA,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
D.Lock,DEN,,,,,,,,,,,,,,,-1.5,55.56,12.05,18.32,,,,,21.1075
T.Austin,JAX,,,,,,,,,,,,,,,,15.91,,,,,,,15.91
C.Grayson,TB,,,,,,,,,,,,,,,,8.81,,,,,,,8.81
J.Fromm,NYG,,,,,,,,,,,,,,,,14.29,,56.38,,,,,35.335
J.Johnson,BAL,,,,,,,,,,,,,,,,25.64,,,,,,,25.64
G.Olszewski,NE,,,,,,,,,,,,,,,,6.04,,,,,,,6.04
N.Foles,CHI,,,,,,,,,,,,,,,,9.09,,,,,,,9.09
T.Smith,HOU,,,,,,,,,,,,,,,,3.7,,,,,,,3.7
I.Book,NO,,,,,,,,,,,,,,,,7.23,,,,,,,7.23
R.Bonnafon,CAR,,,,,,,,,,,,,,,,5.97,,,,,,,5.97
A.Wingard,JAX,,,,,,,,,,,,,,,,3.03,,,,,,,3.03
B.Mann,NYJ,,,,,,,,,,,,,,,,1.47,,,,,,,1.47
M.Ffrench,LAC,,,,,,,,,,,,,,,,3.37,,,,,,,3.37
N.Cottrell,JAX,,,,,,,,,,,,,,,,2.27,,,,,,,2.27
A.Prentice,NO,,,,,,,,,,,,,,,,2.41,2.74,0.51,,,,,1.8866666666666667
