PLAYER,POS,FPTS,C,F,STD,VOR,VALUERANK,AVG,ADPRANK,SLEEPERSCORE,ECR,CI,IJ%,PGM,IPG%,D
Albert Wilson,WR,38.5775605,70.3,6.13,22.966502839926232,-77.86609950000002,364.0,379.0,420.0,56.0,,6,95%,3.10,16.2%,5
Brandon Bolden,RB,15.385533333333335,27.86666666666667,2.893333333333333,9.882842941178414,-77.96434666666667,365.0,,,,,,,,,
Jaret Patterson,RB,15.246973333333333,25.61,4.943333333333333,7.836558790506625,-78.10290666666667,366.0,277.0,329.0,-37.0,305.4,,,,,
Damiere Byrd,WR,38.22332166666667,62.856666666666676,13.656666666666666,17.422902020261773,-78.22033833333333,367.0,377.0,418.0,51.0,,,,,,
Chris Evans,RB,14.920894666666666,27.213333333333335,2.5466666666666664,9.216928469314515,-78.42898533333333,368.0,297.0,360.0,-8.0,,,,,,
Khalil Herbert,RB,14.652080666666665,17.986666666666668,11.386666666666665,2.3403183923331645,-78.69779933333334,369.0,,,,248.0,2,45%,1.10,3.5%,0
Scotty Miller,WR,37.72231050000001,50.7,24.69,9.104387919519343,-78.7213495,370.0,296.0,357.0,-13.0,,,,,,
Freddie Swain,WR,37.5293845,46.9,27.91,6.730933038120328,-78.9142755,371.0,,,,,,,,,
CJ Ham,RB,13.908094,20.706666666666667,7.173333333333333,4.773688298073514,-79.441786,372.0,,,,,,,,,
Dede Westbrook,WR,36.8969755,39.09,34.7,1.5438500785049531,-79.5466845,373.0,414.0,450.0,77.0,,,,,,
Royce Freeman,RB,13.712077999999996,20.16,7.159999999999999,4.590026257214221,-79.63780200000001,374.0,244.0,259.0,-115.0,,2,31%,0.50,2.2%,5
D'Ernest Johnson,RB,13.444802666666664,17.513333333333332,9.433333333333332,2.8873490742574077,-79.90507733333334,375.0,,,,292.4,,,,,
Alec Ingold,RB,13.332943000000002,16.6,10.06,2.3120060658984007,-80.016937,376.0,,,,,,,,,
Alex Collins,RB,12.942480000000005,18.8,7.12,4.142659890649967,-80.4074,377.0,270.0,307.0,-70.0,,,,,,
Keith Smith,RB,12.127031999999998,18.5,5.82,4.503511171405707,-81.222848,378.0,,,,,,,,,
Dexter Williams,RB,11.23988,21.32,1.2,7.120575734138357,-82.11,379.0,,,,,,,,,
Demetric Felton,RB,11.079485666666669,18.12,3.966666666666667,5.065971771526729,-82.27039433333333,380.0,420.0,456.0,76.0,,,,,,
Demetric Felton,RB,10.974006,18.12,3.966666666666667,5.055223313538362,-82.375874,381.0,420.0,456.0,75.0,,,,,,
Demetric Felton,WR,11.079485666666669,18.12,3.966666666666667,5.065971771526729,-105.36417433333334,451.0,,,,,,,,,
Demetric Felton,WR,10.974006,18.12,3.966666666666667,5.055223313538362,-105.469654,452.0,,,,,,,,,
Ke'Shawn Vaughn,RB,10.231251,11.666666666666666,8.78,1.1371759096302752,-83.118629,382.0,313.0,372.0,-10.0,282.5,1,6%,0.50,0.4%,5
Christian Blake,WR,33.31296,36.9,29.7,2.547078333777742,-83.13070000000002,383.0,,,,,,,,,
Gary Brightwell,RB,9.976740999999997,10.6,9.34,0.4453817114779186,-83.37313900000001,384.0,,,,,,,,,
Gerrid Doaks,RB,9.229978,16.0,2.53,4.808681333225982,-84.119902,385.0,426.0,462.0,77.0,,,,,,
Reggie Bonnafon,RB,9.207892666666666,12.706666666666665,5.706666666666667,2.477532615601345,-84.14198733333333,386.0,,,,,,,,,
Dwayne Washington,RB,9.2044,13.2,5.2,2.8354859618767287,-84.14547999999999,387.0,,,,,,,,,
Alex Armah,RB,8.7385955,11.8,5.73,2.146979486366777,-84.6112845,388.0,,,,,,,,,
Elijhaa Penny,RB,8.636894333333334,11.38,5.866666666666667,2.229337589297946,-84.71298566666667,389.0,,,,,,,,,
Gabe Nabers,RB,8.269632000000001,9.9,6.66,1.1445492495196528,-85.080248,390.0,,,,,,,,,
Jordan Howard,RB,8.25065,8.9,7.6,0.45713026316357597,-85.09923,391.0,,,,337.6,5,18%,0.30,1.2%,5
Quez Watkins,WR,31.337252000000003,53.60666666666666,9.74,16.755296054934274,-85.106408,392.0,291.0,350.0,-42.0,292.7,,,,,
Taysom Hill,QB,123.14011149999997,162.63,83.8,27.92898034094814,-85.48242850000007,393.0,247.0,267.0,-126.0,255.0,9,58%,1.60,5%,5
Mac Jones,QB,123.09904000000002,208.6866666666667,37.019999999999996,60.33798558205787,-85.52350000000003,394.0,177.0,172.0,-222.0,125.6,1,7%,2.20,0.4%,5
