PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
D.Williams,CHI,23.08,5.88,,20.51,43.24,,10.34,5.56,,,,,,8.7,,3.33,,,,,,,15.080000000000002
K.Drake,LV,28.57,28.0,22.86,5.56,9.09,17.39,48.28,,20.0,28.57,27.78,20.0,6.25,,,,,,,,,,21.8625
D.Johnson,HOU,7.32,21.43,11.76,27.78,8.33,6.9,46.67,13.33,22.22,,34.21,41.67,,,23.08,,,23.81,,,,,22.193076923076923
K.Raymond,DET,4.17,,,,,,3.57,,,,,,,,,3.03,,3.85,,,,,3.655
L.Shenault,JAX,6.25,6.25,,3.33,,,,5.26,3.7,8.33,,,12.0,,4.0,,,,,,,,6.14
J.McNichols,TEN,9.09,2.5,5.26,2.7,2.78,,,,26.92,13.79,,,,23.53,14.29,29.17,5.0,,,,,,12.275454545454544
A.Jones,GB,33.33,54.84,76.0,45.45,63.64,41.94,40.0,44.12,48.0,21.88,,31.25,,20.83,52.0,50.0,25.0,,,60.0,,,44.2675
J.Patterson,WAS,7.41,,,6.9,12.12,5.26,,45.83,,11.43,17.5,2.27,3.33,16.67,19.05,45.0,54.55,16.22,,,,,18.82428571428571
R.Wilson,SEA,18.52,16.67,16.67,14.29,8.0,,,,,31.25,10.53,16.67,11.11,6.9,,8.33,14.63,13.33,,,,,14.376923076923081
M.Ryan,ATL,7.69,14.29,5.0,3.57,3.45,,13.64,10.0,20.0,,,13.79,13.04,11.11,21.74,22.22,9.09,8.33,,,,,11.797333333333334
J.McKissic,WAS,3.7,18.18,12.0,27.59,6.06,42.11,13.79,12.5,,5.71,17.5,15.91,,,,,,,,,,,15.913636363636364
R.Penny,SEA,7.41,,,,,,21.43,28.0,,,10.53,,37.04,55.17,57.89,70.83,60.98,76.67,,,,,42.595
R.Woods,LA,4.35,6.9,4.17,,,,,9.68,4.76,,,,,,,,,,,,,,5.9719999999999995
B.Mayfield,CLE,3.7,23.53,9.52,5.26,5.71,15.79,,4.35,,,11.11,11.76,,20.69,,8.0,10.0,,,,,,10.785000000000002
D.Booker,NYG,20.0,7.14,,4.76,64.0,66.67,45.16,75.0,67.74,,23.08,11.11,35.29,29.63,33.33,22.22,45.0,32.0,,,,,36.383125
A.Brown,TB,7.14,,,,,,,,,,,,,,,,,,,,,,7.14
Mi.Carter,NYJ,22.22,35.48,69.23,52.0,55.56,,66.67,55.56,59.09,72.73,50.0,,,,,,11.54,52.94,,,,,50.251666666666665
J.Smith,NE,3.33,,,,3.33,,3.12,,2.56,,,4.17,2.13,,5.26,,2.7,3.7,,,,,3.3666666666666663
D.Carr,LV,19.05,16.0,5.71,16.67,13.64,8.7,6.9,,10.0,21.43,,5.71,12.5,,12.0,17.5,,2.94,7.14,,,,11.725999999999999
M.Brown,BAL,2.94,,,,,,,,,,,,,,,,,,,,,,2.94
J.Jackson,LAC,3.45,20.0,9.09,8.82,,,,15.0,,,3.85,,27.27,24.32,33.33,54.55,34.29,14.29,,,,,20.688333333333333
B.Bolden,NE,3.33,,17.65,12.5,6.67,3.7,6.25,10.26,20.51,8.82,3.33,,10.64,,21.05,7.41,2.7,25.93,,,,,10.716666666666667
B.Roethlisberger,PIT,19.05,,6.67,,2.86,6.67,,3.12,6.25,,,,4.0,4.17,17.65,,3.23,10.0,10.0,,,,7.805833333333333
T.Cannon,BAL,5.88,,,,,,,,,,,,,,,,,,,,,,5.88
D.Dallas,SEA,3.7,,,,16.0,14.81,,4.0,,,21.05,25.0,,6.9,42.11,16.67,2.44,3.33,,,,,14.182727272727275
F.Swain,SEA,3.7,5.56,5.56,,,,3.57,,,,,,,3.45,,,,,,,,,4.368
S.Ahmed,MIA,13.04,30.0,,18.75,22.22,35.0,24.14,30.43,16.0,9.09,,12.82,32.0,,,,,,,,,,22.135454545454543
A.Abdullah,MIN,4.55,,14.71,,3.57,,,,,,,,,,,,,,,,,,7.61
T.Hill,KC,4.35,5.56,3.33,,4.35,,7.69,,4.0,4.0,3.85,,,,,,4.35,,,3.7,,,4.518000000000001
M.Breida,BUF,16.0,,,,,,,,,12.5,35.71,28.12,4.0,15.79,3.7,,,,,,,,16.545714285714286
J.Brissett,MIA,8.7,20.0,25.93,18.75,,,,,4.0,4.55,,,,,2.38,,,,,,,,12.044285714285712
Da.Williams,KC,4.35,16.67,23.33,31.25,21.74,75.0,38.46,48.15,76.0,44.0,19.23,,20.83,6.67,25.0,31.43,60.87,23.33,4.55,,,,31.714444444444446
J.Burrow,CIN,2.78,,20.83,13.64,12.5,13.89,4.17,6.25,8.33,,7.89,2.63,3.85,7.69,19.23,9.52,26.32,,8.0,11.11,18.52,10.0,10.90263157894737
G.Nabers,LAC,3.45,,,,,,,,,,,,,,2.56,,2.86,,,,,,2.9566666666666666
S.Michel,LA,4.35,34.48,83.33,13.04,37.93,26.47,10.53,29.03,33.33,40.0,,15.0,88.89,95.24,62.07,81.82,95.0,77.78,34.21,3.33,34.48,8.7,43.286190476190484
A.Mattison,MIN,4.55,11.11,76.47,43.48,89.29,8.11,,8.33,16.67,12.12,10.0,38.89,79.31,16.67,,59.09,,22.73,,,,,33.12133333333334
Z.Wilson,NYJ,5.56,9.68,7.69,12.0,5.56,,,,,,,5.71,17.65,23.53,16.67,11.11,7.69,11.76,,,,,11.2175
B.Bell,KC,4.35,,,,,,,,,4.0,,,,,5.0,,4.35,,,,,,4.425
R.Fitzpatrick,WAS,3.7,,,,,,,,,,,,,,,,,,,,,,3.7
