Date,Team,Acquired,Relinquished,Notes
1973-11-03,Saints,,• Willie Hall,placed on inactive list
1973-11-03,Saints,• Doug Winslow,,"""activated"""
1973-11-09,Cardinals,,• Roger Wehrli,placed on IR
1973-11-14,Cardinals,,• Kenneth Garrett / Ken Garrett,placed on active list
1973-11-14,Packers,,• Carleton Oats / Carleton Oates,placed on IR
1973-11-16,Lions,,• Greg Landry,placed on IR with surgery on knee
1973-11-16,Redskins,,• Ted Vactor,placed on IR with fractured arm
1973-11-20,Redskins,,• Larry Willis (Lee),placed on IR
1973-11-20,Saints,,• Bob Brown (Earl),placed on IR
1973-11-21,Patriots,,• Will Foster,placed on IR with surgery on knee
1973-11-28,Patriots,,• Brian Stenger,placed on IR
1973-11-28,Patriots,• Carl Johnson,,"""activated"""
1973-11-30,Saints,,• Bill Butler (b),"""deactivated"""
1973-11-30,Saints,,• Craig Robinson,"""deactivated"""
1973-11-30,Saints,,• Jerry Moore (Porter),"""deactivated"""
1973-11-30,Saints,• Andy Dorris,,"""activated"""
1973-11-30,Saints,• Paul Fersen,,"""activated"""
1973-11-30,Saints,• Tom Myers (b) / Tommy Myers (b),,"""activated"""
1973-11-30,Steelers,• Terry Bradshaw,,activated from IR
1973-12-01,Cardinals,,• Bonnie Sloan,placed on inactive list
1973-12-01,Cardinals,,• Don Shy,placed on inactive list
1973-12-01,Cardinals,,• Mike Taylor (Ray),placed on inactive list
1973-12-01,Cardinals,• Ernie McMillan / Ernie McMillian,,"""activated"""
1973-12-01,Cardinals,• Roger Wehrli,,"""activated"""
1973-12-05,Patriots,,• Claxton Welch,placed on injured list
1973-12-08,Colts,• Mike Curtis,,"""reactivated"""
1974-08-20,Stars (WFL),• John Moss,,"""activated"""
1974-08-20,Stars (WFL),• Kreg Kapitan,,"""activated"""
1974-08-20,Stars (WFL),• Tom Spinks / Tommy Spinks,,"""activated"""
1974-08-26,Bell (WFL),,• Oscar Jenkins,placed on IR
1974-08-26,Bell (WFL),• Ron Mabra,,"""activated"""
1974-08-26,Sun (WFL),• Clay Jeffries,,activated from IR
1974-09-08,Packers,,• Tom Toner,placed on IR
1974-09-08,Stars (WFL),• Brian Dowling,,"""activated"""
1974-09-09,Packers,,• Bart Purvis,placed on IR
1974-09-09,Packers,,• Dave Wannstedt,placed on IR
1974-09-10,Broncos,,• Bobby Anderson,placed on IR (out for season)
1974-09-10,Broncos,,• Marv Montgomery,placed on IR
1974-09-10,Cardinals,,• Eddie Moss,placed on IR
1974-09-10,Chiefs,,• Ceaser Beiser,placed on IR
1974-09-10,Chiefs,,• Norm Romagnoli,placed on IR
1974-09-10,Chiefs,,• Walter Baisy,placed on IR
1974-09-10,Chiefs,,• William Gambrill / Bill Gambrill / Bill Gambrell / Billy Gambrell,placed on IR
1974-09-10,Jets,,• Jerry Bond,placed on IR
1974-09-10,Jets,,• John Jones / Spike Jones?,placed on IR
1974-09-10,Jets,,• Margene Adkins,placed on IR
1974-09-10,Packers,,• Ken Bowman,placed on IR
1974-09-10,Packers,,• Monte Doris,placed on IR
1974-09-10,Packers,,• Ron Widby,placed on IR
1974-09-10,Packers,,• Tyrone Byrd,placed on IR
1974-09-10,Redskins,,• Darwin Robinson,placed on IR
1974-09-10,Vikings,,• John Ward (Henry),placed on physically unable to perform list
1974-09-10,Vikings,,• Mike Wells (Eugene),placed on IR
1974-09-11,Bell (WFL),,• Benny Johnson,"""placed on inactive roster"" (date approximate)"
1974-09-11,Browns,,• Bill Prickett,placed on IR
1974-09-11,Browns,,• Ken Smith,placed on IR
1974-09-11,Chargers,,• Clint Jones,placed on IR
1974-09-11,Chargers,,• Dan Colbert / Danny Colbert,placed on IR
1974-09-11,Chargers,,• Otis Bullard,placed on IR
1974-09-11,Chargers,,• Reece Morrison,placed on IR
1974-09-11,Chargers,,• Steve Kingman,placed on IR
1974-09-11,Chargers,,• Steve Marshall,placed on IR
1974-09-11,Eagles,,• Alvin Coleman (a) / Al Coleman,placed on IR
1974-09-11,Hawaiians (WFL),,• Ernie O'Leary,placed on inactive list (date approximate)
1974-09-11,Hawaiians (WFL),,• Kem Lawyer,placed on inactive list (date approximate)
1974-09-11,Hawaiians (WFL),,• Mike McGirr,placed on inactive list (date approximate)
1974-09-11,Hawaiians (WFL),,• Ray Hester,placed on inactive list (date approximate)
1974-09-11,Hawaiians (WFL),,• Steve Conley (Craig),placed on inactive list (date approximate)
1974-09-11,Hawaiians (WFL),• Jay Corey,,placed on active roster (date approximate)
1974-09-11,Hawaiians (WFL),• R.A. Coppedge,,placed on active roster (date approximate)
1974-09-11,Hawaiians (WFL),• Tim Boyer,,placed on active roster (date approximate)
1974-09-11,Patriots,,• Al Marshall,placed on IR
1974-09-11,Patriots,,• Bill Singletary / Skip Singletary,placed on IR
1974-09-11,Patriots,,• Dave McCurry,placed on IR
1974-09-11,Patriots,,• Donnell Smith,placed on IR
1974-09-11,Patriots,,• Doug Henderson,placed on IR
1974-09-11,Patriots,,• Ernie Webster,placed on IR
1974-09-11,Patriots,,• Harry Buskirk,placed on IR
1974-09-11,Patriots,,• Jeff White,placed on IR
1974-09-11,Patriots,,• Kent Carter,placed on IR
1974-09-11,Patriots,,• Shelby Jordan,placed on IR
1974-09-11,Patriots,,• Steve Corbett,placed on IR
1974-09-11,Rams,,• Alan Kelso / Al Kelso,placed on IR
1974-09-11,Rams,,• Richard Baska / Rich Baska / Rick Baska,placed on IR with back injury
1974-09-11,Redskins,,• Mike Varty,placed on IR
1974-09-11,Sharks (WFL),,• Johnny Mack (a),placed on IR (date approximate)
1974-09-11,Sharks (WFL),• John Gordon,,placed on active roster (date approximate)
1974-09-11,Southmen (WFL),,• Steve Booras,de-activated (date approximate)
1974-09-11,Southmen (WFL),,• Tim Beamer,de-activated (date approximate)
1974-09-11,Southmen (WFL),• Lucious Selmon,,activated (date approximate)
1974-09-11,Southmen (WFL),• Tony Schmid,,activated (date approximate)
1974-09-11,Stars (WFL),,• Bob Gladieux,"""de-activated"" (date approximate)"
1974-09-11,Stars (WFL),,• Tom Chandler (b),"""de-activated"" (date approximate)"
1974-09-11,Stars (WFL),• Greg Lens,,"""activated"" (date approximate)"
1974-09-11,Stars (WFL),• James Ford / Jim Ford (b) / Jamie Ford,,"""activated"" (date approximate)"
1974-09-11,Stars (WFL),• Len St. Jean,,"""activated"" (date approximate)"
1974-09-11,Stars (WFL),• Marty Huff,,"""activated"" (date approximate)"
1974-09-11,Storm (WFL),• Cleo House,,"""activated"" (date approximate)"
1974-09-11,Lions,,• John Brady,placed on IR
1974-09-11,Lions,,• Mike Wegner / Mike Weger,placed on IR
1974-09-12,Bills,,• Art Cameron,placed on IR
1974-09-12,Cardinals,,• Hurles Scales,placed on IR
1974-09-12,Cowboys,,• George Hunt,placed on IR
1974-09-12,Falcons,,• Noel Jenke,placed on IR
1974-09-12,Packers,,• Charlie Napier,placed on IR
1974-09-13,Redskins,,• Manny Sistrunk,placed on IR
1974-09-15,Cardinals,,• Don Shy,placed on IR
1974-09-18,Blazers (WFL),,• Bob Rush (M.),de-activated (date approximate)
1974-09-18,Blazers (WFL),,• Buddy Palazzo,de-activated (date approximate)
1974-09-18,Blazers (WFL),,• Hubie Bryant,de-activated (date approximate)
1974-09-18,Blazers (WFL),,• Red Lachowicz / Ted Lachowicz?,de-activated (date approximate)
1974-09-18,Blazers (WFL),,• Richard James (b),de-activated (date approximate)
1974-09-18,Blazers (WFL),• Clifford McClain / Cliff McClain,,activated (date approximate)
1974-09-18,Blazers (WFL),• Gary Collins,,activated (date approximate)
1974-09-18,Packers,,• Bill Hayhoe,placed on IR with fractured left leg
1974-09-18,Sharks (WFL),• O.Z. White,,activated (date approximate)
1974-09-18,Sharks (WFL),• Rick Lake / Ricky Lake,,activated (date approximate)
1974-09-18,Storm (WFL),• Hise Austin,,activated (date approximate)
1974-09-18,Sun (WFL),• Chuck Bradley (John),,activated (date approximate)
1974-09-18,Sun (WFL),• Dick Witcher,,activated (date approximate)
1974-09-18,Sun (WFL),• Mike Burke,,activated (date approximate)
1974-09-18,Texans (WFL),,• Myron Taliaferro / Mike Taliaferro (Eugene),de-activated (date approximate)
1974-09-18,Texans (WFL),• D.C. Nobles,,activated (date approximate)
1974-09-18,Wheels (WFL),,• Floyd Priester,de-activated (date approximate)
1974-09-18,Wheels (WFL),,• John Levanti,de-activated (date approximate)
1974-09-18,Wheels (WFL),,• Nate Hawkins,de-activated (date approximate)
1974-09-18,Wheels (WFL),,• Phil Engle,de-activated (date approximate)
1974-09-20,Vikings,,• Bobby Bryant,placed on IR
1974-09-26,Packers,,• Bruce Van Dyke,placed on IR
1974-10-02,Fire (WFL),• Bill Cappleman,,activated (date approximate)
1974-10-02,Fire (WFL),• Jim Gessford,,activated (date approximate)
1974-10-18,Browns,,• Allen Dunbar / Jubilee Dunbar,placed on IR with broken wrist
1974-10-18,Patriots,,• Darryl Stingley,placed on IR with fractured left forearm
1974-10-22,Jets,,• Warren Koegel,"placed on IR with sprained ankle, knee injury"
1974-10-22,Redskins,,• Herb Mul-Key,placed on IR with dislocated shoulder
1974-10-23,Bell (WFL),• Benny Johnson,,activated (date approximate)
1974-10-23,Redskins,• Charles Evans (a) / Charley Evans / Charlie Evans,,activated from IR
1974-10-24,Chiefs,,• Dave Hill,placed on IR
1974-10-26,Packers,• Barty Smith,,activated
1974-10-27,Cardinals,,• Willie Belton,placed on IR
1974-11-14,Jets,,• Bob Howfield / Bobby Howfield,placed on IR
1974-11-16,Saints,,• Terry Schmidt,placed on IR
1974-11-27,Giants,,• Gary Pettigrew,placed on IR
1974-11-27,Patriots,• Dave McCurry,,activated from IR
1974-11-27,Patriots,• Kent Carter,,activated from IR
1974-11-29,Eagles,,• Tom Bailey (b),placed on IR
1974-12-05,Jets,,• Mark Lomas,placed on IR
1974-12-05,Lions,• Bill Frohbose,,"""activated"""
1975-07-01,Hornets (WFL),,• Sam Senneca,placed on IR
1975-07-21,Express (WFL),,• Jeff Davis (a),placed on IR
1975-07-28,Cardinals,,• Bob Crum,placed on reserve list (player did not report)
1975-07-28,Cardinals,,• Louis Lauriano,placed on IR
1975-07-28,Express (WFL),,• Danny Kimble,placed on IR with ankle injury
1975-07-31,Steamer (WFL),,• Joe Wyche / Bubba Wyche,placed on IR
1975-07-31,Steamer (WFL),,• Paul Gipson,placed on IR
1975-08-06,Hornets (WFL),• David Blake,,"""activated"""
1975-08-06,Hornets (WFL),• John Jacquot,,"""activated"""
1975-08-06,Hornets (WFL),• Vennie Parker,,"""activated"""
1975-08-11,Rams,,• Rod Perry,placed on special injury list
1975-08-12,Bears,,• Joe Taylor,placed on physically unable to perform list
1975-08-12,Bears,,• Tom Reynolds / Tommy Reynolds,placed on IR
1975-08-12,Sun (WFL),,• Ron Ayala,placed on IR
1975-08-13,Chiefs,,• Bill Peterson (a),placed on IR
1975-08-13,Chiefs,,• Reggie Craig,placed on IR
1975-08-13,Chiefs,,• Willie Osley,placed on IR
1975-08-13,Chiefs,,• Tom Drougas,placed on IR
1975-08-15,Packers,,• Bart Purvis,placed on IR
1975-08-15,Packers,,• Les Goodman,placed on IR
1975-08-19,Browns,,• Thomas Darden / Thom Darden,placed on IR with torn ligaments in left knee
1975-08-19,Cardinals,,• Ken Willard,placed on IR
1975-08-19,Express (WFL),,• Jeff Davis (a),placed on IR
1975-08-19,Express (WFL),,• Steve Foley (James),placed on IR
1975-08-19,Express (WFL),• Danny Kimble,,activated from IR
1975-08-19,Jets,,• Steve Tannen,placed on IR
1975-08-19,Saints,,• Wayne Colman,placed on IR recovering from surgery to repair fractured left arm
1975-08-20,Bell (WFL),,• Walt Hughes,placed on IR
1975-08-20,Bell (WFL),• Vince Paple / Vince Papale,,"""activated"""
1975-08-21,Packers,,• Bill Hayhoe,placed on IR
1975-08-21,Packers,,• Norm Hodgins,placed on IR
1975-08-21,Sun (WFL),,• Don Shy,placed on IR
1975-08-21,Sun (WFL),,• Eric Patton,placed on IR
1975-08-21,Vikings,,• Mike Hurd,placed on IR
1975-08-26,Sun (WFL),• Don Shy,,activated from IR
1975-08-27,Hornets (WFL),• Randy Rhino,,"""activated"""
1975-08-28,Bell (WFL),• Pete Woodward,,"""activated"""
1975-08-28,Hornets (WFL),,• John Sykes,placed on IR
1975-08-28,Hornets (WFL),,• Randy Cobb,placed on IR
1975-08-28,Hornets (WFL),• Carl Collins,,"""activated"""
1975-08-28,Hornets (WFL),• Jim Ford (b)?,,"""activated"""
1975-08-28,Hornets (WFL),• Marty Smith,,"""activated"""
1975-08-28,Sun (WFL),• Daryle Lamonica,,"""activated"""
1975-08-29,Sun (WFL),,• Daryle Lamonica,placed on IR
1975-09-02,Falcons,,• Larry Mialik,placed on IR
1975-09-02,Packers,,• Mike Fanucci,placed on IR with sore ankle
1975-09-02,Redskins,,• Felix Lobdell,placed on IR with separated shoulder
1975-09-02,Redskins,,• Stu O'Dell,placed on IR
1975-09-02,Steelers,,• Robert Gaddis / Bob Gaddis,placed on IR
1975-09-02,Bengals,,• Royce Berry,placed on IR with wrist injury (out for season)
1975-09-03,Express (WFL),• Fletcher Smith,,"""activated"""
1975-09-03,Jets,,• Al Woodall,placed on IR
1975-09-03,Jets,,• Robert Burns / Bob Burns,placed on IR
1975-09-03,Patriots,,• Leon Crosswhite,placed on IR
1975-09-03,Vikings,,• Scott Anderson,placed on reserve list
1975-09-03,Browns,,• Pete Adams,placed on IR with knee injury (out for season)
1975-09-04,Bell (WFL),,• Dennis Lozzi,placed on IR
1975-09-04,Bell (WFL),,• Frank McGurgan / Frank McGuigan,placed on IR
1975-09-04,Bell (WFL),,• Greg Bullec,placed on IR
1975-09-04,Bell (WFL),,• Greg Butler / Gregg Butler,placed on IR
1975-09-04,Bell (WFL),,• Reggie Barry / Reggie Berry,placed on IR
1975-09-04,Bills,,• Roland Hooks,placed on IR
1975-09-04,Cardinals,,• Jack LaVeck / Jack LeVeck,placed on IR
1975-09-04,Cardinals,,• Steve George,placed on IR
1975-09-04,Cardinals,,• Terry Miller,placed on IR
1975-09-04,Patriots,,• John Tanner,placed on IR
1975-09-04,Patriots,,• John Turner,placed on IR
1975-09-04,Thunder (WFL),• Billy Joe Winchester,,"""activated"""
1975-09-04,Thunder (WFL),• Tony Bachmann,,"""activated"""
1975-09-05,Hornets (WFL),,• Chris Kupec,placed on IR
1975-09-05,Hornets (WFL),,• James Thompson / Jim Thompson,placed on IR
1975-09-05,Hornets (WFL),• Dave Benson,,activated from IR
1975-09-05,Hornets (WFL),• John Sykes,,activated from IR
1975-09-05,Hornets (WFL),• Randy Cobb,,activated from IR
1975-09-09,Broncos,,• Charlie Smith,placed on IR
1975-09-09,Dolphins,,• Dick Anderson (Paul),placed on IR with knee injury
1975-09-09,Dolphins,,• Nick Buoniconti,placed on IR
1975-09-09,Falcons,,• Steve Knutson,placed on IR
1975-09-09,Lions,,• Steve Owens,placed on physically unable to perform list
1975-09-09,Packers,,• Chuck Brandon,placed on IR
1975-09-09,Redskins,,• Dallas Hickman,placed on IR
1975-09-10,Packers,,• Larry Krause,placed on IR
1975-09-10,Rams,,• Al Oliver,placed on IR
1975-09-10,Rams,,• Charles Stukes / Charlie Stukes,placed on IR
1975-09-10,Rams,,• Fred Nuzum / Rick Nuzum / Rich Nuzum,placed on IR
1975-09-10,Thunder (WFL),• Allan Graf,,activated from IR
1975-09-11,Packers,,• Jon Staggers,placed on IR with shoulder injury
1975-09-15,49ers,,• Dale Mitchell,placed on IR
1975-09-15,49ers,,• Wayne Bullock,placed on IR (date approximate)
1975-09-15,Bengals,,• Gary Burley,placed on IR
1975-09-15,Bengals,,• Gary Sheide,placed on IR
1975-09-15,Chiefs,,• Gary Butler (a),placed on IR
1975-09-15,Falcons,,• Vince Kendrick,placed on IR
1975-09-15,Jets,,• (Bernard) James Scott,placed on IR
1975-09-15,Packers,,• Randy Jackson (Belford),placed on IR
1975-09-16,Bills,,• Ahmad Rashad / Bobby Moore,placed on IR with knee injury
1975-09-16,Chargers,,• Charles Waddell,placed on IR
1975-09-16,Colts,,• Randy Hall,placed on IR
1975-09-16,Giants,,• John Tate,placed on IR
1975-09-16,Oilers,,• Al Johnson,placed on IR with cut
1975-09-16,Saints,,• Jim Merlo,placed on IR
1975-09-18,Colts,,• Mike Washington,placed on IR
1975-09-20,Bengals,,• Charley Davies,placed on IR
1975-09-26,Packers,,• Ernie Janet,placed on IR
1975-10-01,Eagles,,• Merritt Kersey,placed on IR
1975-10-02,Bell (WFL),• Greg Butler / Gregg Butler,,activated from IR
1975-10-02,Packers,,• Charley Wade / Charlie Wade,placed on IR with torn hamstring in left leg
1975-10-02,Packers,,• Willie Buchanon,placed on IR
1975-10-03,Bell (WFL),,• J.J. Jennings,placed on IR
1975-10-08,Raiders,,• Larry Lawrence,placed on IR
1975-10-10,Chiefs,,• Otis Taylor,placed on IR
1975-10-14,Packers,,• Larry Hefner,placed on IR
1975-10-22,Lions,,• Dennis Franklin,placed on IR
1975-10-23,Packers,,• Chester Marcol,placed on IR with thigh muscle injury
1975-10-24,Redskins,,• Tim Stokes,placed on IR with knee injury
1975-10-28,Patriots,,• Maury Damkroger,placed on IR with surgery on knee
1975-11-10,Cardinals,• Ken Willard,,activated from IR
1975-11-11,Falcons,,• Ron Mabra,placed on IR
1975-11-11,Jets,,• Phil Wise,placed on IR
1975-11-12,Colts,,• Mike Curtis,placed on IR
1975-11-13,Packers,,• Bill Cooke,placed on IR
1975-11-13,Packers,,• Kent Gaydos,placed on IR
1975-12-03,Dolphins,,• Bob Griese,placed on IR
1975-12-10,Chiefs,,• Len Dawson,placed on IR
1975-12-10,Eagles,,• Bill Lueck,placed on IR
1975-12-10,Giants,,• John Mendenhall,placed on IR
1975-12-10,Giants,• Dave Simonson,,activated
1975-12-17,Browns,,• Cleo Miller,placed on IR
1976-07-13,Broncos,,• Clarence Ellis,placed on reserve list
1976-07-13,Broncos,,• Jim O'Malley,placed on reserve list
1976-07-30,Falcons,,• John Hill,placed on IR
1976-07-30,Falcons,,• Vern Chamberlain,placed on IR
1976-08-02,Buccaneers,,• Charles Evans (a) / Charley Evans / Charlie Evans,placed on IR
1976-08-02,Buccaneers,,• Kent Gaydos,placed on IR
1976-08-02,Packers,,• Chris Stecher,placed on IR with knee injury
1976-08-02,Packers,,• Jerry Dandridge,placed on IR with knee injury
1976-08-03,Bears,,• Craig Clemons,"""placed on disabled list"""
1976-08-03,Bears,,• Roger Stillwell,"""placed on disabled list"""
1976-08-03,Buccaneers,,• Jon Bradford,placed on IR
1976-08-03,Colts,,• Stu Levenick,placed on IR
1976-08-03,Colts,,• Walter Hartfield / Walt Hartfield,placed on IR
1976-08-03,Dolphins,,• Dick Anderson (Paul),placed on IR
1976-08-03,Dolphins,,• Manny Fernandez,placed on IR
1976-08-03,Giants,,• Bonnie Sloan,placed on IR
1976-08-03,Giants,,• John Jordan,placed on IR
1976-08-03,Giants,,• Ken Beamer,placed on IR
1976-08-03,Jets,,• Mark Lomas,placed on IR
1976-08-03,Redskins,,• Charley Taylor,placed on IR (out indefinitely)
1976-08-03,Redskins,,• Walt Sweeney,placed on IR recovering from surgery on knee
1976-08-03,Seahawks,,• Charles Waddell,placed on IR
1976-08-03,Seahawks,,• Larry Bates,placed on IR
1976-08-03,Redskins,• Lonnie Warwick,,"""activated"""
1976-08-04,Chiefs,,• Robert Maddox / Bob Maddox,placed on physically unable to perform list
1976-08-04,Chiefs,,• J.J. Jennings,placed on IR with surgery on shoulder
1976-08-05,Giants,,• Mike Aiello,placed on IR
1976-08-05,Giants,,• Ricky Townsend / Rickie Townsend,placed on IR
1976-08-05,Rams,,• Duane Carrell,placed on IR
1976-08-05,Rams,,• Frank Johnson,placed on IR
1976-08-05,Rams,,• Gary Shaw,placed on IR
1976-08-05,Rams,,• John Delaney,placed on IR
1976-08-05,Rams,,• Myke Horton,placed on IR
1976-08-05,Rams,,• Pat Manus,placed on IR
1976-08-05,Rams,,• Phil Waganheim,placed on IR
1976-08-10,Falcons,,• Ron Mabra,placed on IR
