Date,Team,Acquired,Relinquished,Notes
1969-09-03,Redskins,,• Joe Rutgers,placed on IR
1969-09-08,Falcons,,• Clark Miller,placed on IR
1969-09-08,Falcons,,• Dave Hettema,placed on IR
1969-09-08,Falcons,,• Paul Williams (b),placed on IR
1969-09-08,Falcons,,• Steve Duich,placed on IR
1969-09-09,Eagles,,• Ron Medved,placed on IR with torn ligaments in knee OR torn hamstring
1969-09-10,Vikings,,• Ed Sharockman,placed on IR
1969-09-15,Saints,,• Bob Miller (b),placed on IR
1969-09-19,Colts,,• Terry Cole (Philip),placed on IR
1969-09-19,Colts,• Jerry Hill (b. 1939-10-12),,activated from IR
1969-10-04,Steelers,,• J.R. Wilburn,placed on IR
1969-10-14,Cardinals,,• Michael Wilson (DeForest) / Mike Wilson (DeForest) (?),placed on IR
1969-10-16,Patriots (AFL),,• Ron Sellers,placed on IR
1969-10-26,Chiefs (AFL),• Len Dawson,,activated from IR
1969-10-26,Eagles,,• Fred Brown (b. 1938-12-22),placed on IR
1969-10-27,Packers,• Jim Weatherwax,,activated from IR
1969-10-28,Patriots (AFL),,• Ron Burger / Ron Berger,placed on IR with knee injury
1969-10-30,Cardinals,,• Don Brumm,placed on IR
1969-10-31,Patriots (AFL),• Ron Sellers,,activated from IR
1969-11-13,Chiefs (AFL),,• Paul Lowe,placed on IR
1969-11-13,Giants,,• Charles Hinton / Chuck Hinton,placed on IR
1969-11-22,Saints,,• Bill Cody,placed on IR
1969-11-22,Saints,• Wayne Colman,,"""activated"""
1969-11-30,Packers,,• Henry Jordan,placed on IR
1969-12-19,Cardinals,,• Fred Heron,placed on IR
1969-12-19,Giants,,• Junior Coffey,"""placed on reserve list"""
1969-12-19,Saints,,• Wayne Colman,placed on IR
1969-12-19,Steelers,,• Larry Gagner,placed on IR
1969-12-20,Lions,,• Phil Odle,placed on IR
1969-12-20,Rams,,• Frank Marchlewski,"""placed on reserve list"""
1969-12-20,Rams,,• Mike Dennis,"""placed on reserve list"""
1970-08-18,Patriots,,• Billy Johnson,placed on IR
1970-08-18,Rams,,• Greg Schumacher / Gregg Schumacher,placed on IR
1970-08-31,Cardinals,,• Larry Stegent,placed on IR with ligament and cartilage damage in left knee
1970-08-31,Jets,,• Walter Groth,placed on IR
1970-08-31,Jets (AFL),,• Bill Mathis,placed on IR
1970-09-02,Saints,,• Tony Baker (a),placed on IR with separated rib cartilage
1970-09-03,Rams,• Greg Schumacher / Gregg Schumacher,,activated
1970-09-07,Dolphins,,• Pat Hauser (a),placed on IR
1970-09-09,Rams,,• Doug Woodlief,placed on IR
1970-09-09,Rams,,• John Pergine,placed on reserve list
1970-09-14,Dolphins,,• Bill Darnall / Billy Darnall,placed on IR
1970-09-14,Dolphins,,• Jim Cox,placed on IR
1970-09-14,Dolphins,,• Tom Goode (Guinne),placed on IR
1970-09-14,Falcons,,• Greg Brezina,placed on IR
1970-09-16,Bengals,,• Chip Bennett,placed on IR
1970-09-16,Cardinals,,• Carl Crennel,placed on IR
1970-09-16,Giants,,• Wesley Grant / Wes Grant,placed on IR
1970-09-16,Saints,,• Gary Klahr,placed on IR
1970-09-16,Saints,,• Glenn Cannon,placed on IR
1970-09-16,Saints,,• Greg Cureton,placed on IR
1970-09-16,Saints,,• Mike Rengel,placed on IR
1970-09-16,Steelers,,• Dave Kaline / Dave Kalina,placed on IR
1970-09-16,Steelers,,• Jim Clark,placed on IR
1970-09-16,Steelers,,• Rocky Bleier,placed on IR
1970-09-16,Bengals,• Bill Dusenbery / Bill Dunsenberry,,claimed off waivers (from Oilers)
1970-09-17,Rams,,• Dick Evey,placed on IR
1970-09-17,Rams,,• Les Josephson,placed on IR with fractured jaw
1970-09-17,Rams,,• Tommy Crutcher / Tommy Joe Crutcher,placed on IR
1970-09-17,Rams,• John Pergine,,"""reactivated"""
1970-09-18,Bears,• Joe Taylor,,activated from IR
1970-09-18,Bears,• Ron Bull / Ronnie Bull,,activated from IR
1970-10-01,Dolphins,• Eugene Morris / Mercury Morris,,"""activated"""
1970-10-01,Eagles,,• Denis Moore,"""placed on reserve list"""
1970-10-01,Eagles,• Bill Bradley,,"""activated"""
1970-10-01,Eagles,• Mike Dirks,,"""activated"" (re-called off waivers?)"
1970-10-02,Rams,• Les Josephson,,activated from IR
1970-10-08,Redskins,• Roy Schmidt,,"""activated"""
1970-10-09,Rams,• Dick Evey,,activated from IR
1970-10-16,Broncos,,• Jerry Inman,placed on IR
1970-10-19,Raiders,• Dan Conners / Dan Connors,,activated
1970-10-19,Redskins,• Terry Hermeling / Jerry Hermeling,,activated
1970-10-31,Saints,,• Dickie Lyons,placed on IR
1970-11-01,Packers,,• Rich Moore / Richie Moore,placed on IR
1970-11-10,Saints,,• Andy Livingston (a),placed on IR
1970-11-10,Saints,• Bill Dusenbery / Bill Dunsenberry,,"""activated"""
1970-12-01,Broncos,,• Jay Bachman,placed on IR
1970-12-10,Saints,,• Ken Burrough,placed on IR
1970-12-19,Bears,,• Ralph Kurek,placed on IR
1970-12-19,Bears,• Craig Baynham,,activated from IR
1970-12-19,Bears,• Howard Mudd,,activated from IR
1971-07-16,Bears,,• Ed Nicholas,placed on reserve/did not report list
1971-08-02,Broncos,,• Roger Roitsch,placed on IR
1971-08-03,Cardinals,,• Dave Olive,placed on reserve list
1971-08-03,Cardinals,,• David Olivo / Dave Olivo,placed on reserve list
1971-08-03,Cardinals,,• Jeff Allen (b. 1948-08-27),placed on reserve list
1971-08-04,Chiefs,,• E.J. Holub,placed on IR
1971-08-18,Patriots,,• Hank Barton / Hank Barlon / Hank Barion,placed on IR
1971-08-24,Giants,,• Al Butler,placed on IR
1971-08-24,Giants,,• Bob Wilson (c),placed on IR
1971-08-26,Jets,,• Dennis Onkontz / Dennis Onkotz,placed on IR
1971-08-27,Bengals,,• Paul Robinson,placed on IR
1971-08-27,Bengals,,• Steve Lawson,placed on IR
1971-08-31,Chiefs,• Kenny Reardon / Kerry Reardon?,,activated
1971-09-02,Cardinals,,• Terry Brown,placed on IR
1971-09-09,Dolphins,,• Maxie Williams,placed on IR
1971-09-13,Bengals,,• Greg Cook,placed on IR
1971-09-13,Browns,,• Guy Homoly,placed on IR
1971-09-13,Eagles,,• Dick Hart,placed on IR
1971-09-13,Vikings,,• John Beasley,placed on IR with ligament damage in left knee
1971-09-13,Colts,,• Cotton Speyrer,placed on IR
1971-09-14,Broncos,,• Pete Duranko,placed on IR
1971-09-16,Packers,,• Kevin Hunt (a),placed on IR
1971-09-16,Redskins,,• Sonny Jurgensen,placed on inactive-injured list
1971-09-16,Redskins,• Mike Hull (Bruce),,activated
1971-09-18,Saints,• Tony Baker (a),,"""activated"""
1971-10-04,Lions,,• Mel Farr Sr.,placed on IR
1971-10-07,Packers,,• Ken Duncan,placed on IR
1971-10-15,Saints,,• Doug Mooers,placed on IR with torn right Achilles tendon
1971-10-16,Giants,,• Junior Coffey,placed on IR
